  ,  , Corrida: ,23 seg ,  ,  , Peltier: ,19.64, ºC     , teInsta: ,17.73, ºC     , Disip: ,18.64, ºC     ,  , Aire: ,15.22,1:24:10,18/8/2022,TomaNro= 1,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4027778,  ,  , Corrida: ,33 seg ,  ,  , Peltier: ,19.7, ºC     , teInsta: ,17.73, ºC     , Disip: ,17.26, ºC     ,  , Aire: ,15.22,1:24:20,18/8/2022,TomaNro= 2,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4055555,  ,  , Corrida: ,45 seg ,  ,  , Peltier: ,19.76, ºC     , teInsta: ,17.73, ºC     , Disip: ,15.13, ºC     ,  , Aire: ,15.22,1:24:32,18/8/2022,TomaNro= 3,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=247y148,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4088888,  ,  , Corrida: ,55 seg ,  ,  , Peltier: ,19.76, ºC     , teInsta: ,17.73, ºC     , Disip: ,13.93, ºC     ,  , Aire: ,15.22,1:24:42,18/8/2022,TomaNro= 4,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4116666,  ,  , Corrida: ,67 seg ,  ,  , Peltier: ,19.77, ºC     , teInsta: ,17.73, ºC     , Disip: ,12.78, ºC     ,  , Aire: ,15.22,1:24:54,18/8/2022,TomaNro= 5,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.415,  ,  , Corrida: ,80 seg ,  ,  , Peltier: ,19.76, ºC     , teInsta: ,17.73, ºC     , Disip: ,12.03, ºC     ,  , Aire: ,15.22,1:25:7,18/8/2022,TomaNro= 6,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.418611,  ,  , Corrida: ,92 seg ,  ,  , Peltier: ,19.76, ºC     , teInsta: ,17.73, ºC     , Disip: ,11.52, ºC     ,  , Aire: ,15.22,1:25:19,18/8/2022,TomaNro= 7,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4219444,  ,  , Corrida: ,104 seg ,  ,  , Peltier: ,19.7, ºC     , teInsta: ,17.73, ºC     , Disip: ,11.3, ºC     ,  , Aire: ,15.22,1:25:31,18/8/2022,TomaNro= 8,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,BALANCEconPWM=255y153,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4252777,  ,  , Corrida: ,116 seg ,  ,  , Peltier: ,19.64, ºC     , teInsta: ,17.73, ºC     , Disip: ,13.48, ºC     ,  , Aire: ,15.22,1:25:44,18/8/2022,TomaNro= 9,   Modo ,0,   tension puente H ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=247y148,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.428611,  ,  , Corrida: ,129 seg ,  ,  , Peltier: ,19.6, ºC     , teInsta: ,17.73, ºC     , Disip: ,13.09, ºC     ,  , Aire: ,15.22,1:25:56,18/8/2022,TomaNro= 10,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=236y141,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4322221,  ,  , Corrida: ,142 seg ,  ,  , Peltier: ,19.56, ºC     , teInsta: ,17.71, ºC     , Disip: ,12.24, ºC     ,  , Aire: ,15.22,1:26:9,18/8/2022,TomaNro= 11,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
STATUS-SE 2,COOLINGconPWM=232y139,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,1.4358335,  ,  , Corrida: ,154 seg ,  ,  , Peltier: ,19.47, ºC     , teInsta: ,17.71, ºC     , Disip: ,11.66, ºC     ,  , Aire: ,15.22,1:26:21,18/8/2022,TomaNro= 12,   Modo ,3,   tension puente H ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,746.0,,
