15.13, ºC     ,21:50:10,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
15.19, ºC     ,21:50:10,TomaNro= 2,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
15.25, ºC     ,21:50:11,TomaNro= 3,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
15.31, ºC     ,21:50:12,TomaNro= 4,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
15.38, ºC     ,21:50:13,TomaNro= 5,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
15.44, ºC     ,21:50:14,TomaNro= 6,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
15.5, ºC     ,21:50:15,TomaNro= 7,    T1 Goal: ,2.0,T2 Meta ,16.0,Modo ,0,
15.56, ºC     ,21:50:16,TomaNro= 8,    T1 Goal: ,2.0,T2 Meta ,16.0,Modo ,0,
15.63, ºC     ,21:50:17,TomaNro= 9,    T1 Goal: ,18.0,T2 Meta ,16.0,Modo ,0,
15.69, ºC     ,21:50:19,TomaNro= 10,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
15.75, ºC     ,21:50:20,TomaNro= 11,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,2,
15.81, ºC     ,21:50:22,TomaNro= 12,    T1 Goal: ,16.0,T2 Meta ,16.0,Modo ,2,
15.88, ºC     ,21:50:23,TomaNro= 13,    T1 Goal: ,17.0,T2 Meta ,16.0,Modo ,2,
15.94, ºC     ,21:50:24,TomaNro= 14,    T1 Goal: ,17.0,T2 Meta ,16.0,Modo ,2,
16.0, ºC     ,21:50:26,TomaNro= 15,    T1 Goal: ,17.0,T2 Meta ,16.0,Modo ,2,
16.06, ºC     ,21:50:27,TomaNro= 16,    T1 Goal: ,17.0,T2 Meta ,16.0,Modo ,2,
16.12, ºC     ,21:50:28,TomaNro= 17,    T1 Goal: ,17.0,T2 Meta ,15.0,Modo ,2,
16.19, ºC     ,21:50:30,TomaNro= 18,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.25, ºC     ,21:50:32,TomaNro= 19,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.31, ºC     ,21:50:33,TomaNro= 20,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.37, ºC     ,21:50:35,TomaNro= 21,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.44, ºC     ,21:50:37,TomaNro= 22,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2EVENTO= 1,
16.5, ºC     ,21:50:38,TomaNro= 23,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.56, ºC     ,21:50:40,TomaNro= 24,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.62, ºC     ,21:50:42,TomaNro= 25,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.69, ºC     ,21:50:43,TomaNro= 26,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
16.75, ºC     ,21:50:45,TomaNro= 27,    T1 Goal: ,17.0,T2 Meta ,17.0,Modo ,2,
