17.69, ºC     ,19:54:16,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
17.75, ºC     ,19:54:17,TomaNro= 2,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
17.81, ºC     ,19:54:18,TomaNro= 3,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
17.87, ºC     ,19:54:19,TomaNro= 4,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
17.94, ºC     ,19:54:20,TomaNro= 5,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
18.0, ºC     ,19:54:21,TomaNro= 6,    T1 Goal: ,17.0,T2 Meta ,16.0,Modo ,0,
18.06, ºC     ,19:54:23,TomaNro= 7,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
18.12, ºC     ,19:54:23,TomaNro= 8,    T1 Goal: ,10.0,T2 Meta ,16.0,Modo ,0,
18.19, ºC     ,19:54:25,TomaNro= 9,    T1 Goal: ,17.0,T2 Meta ,16.0,Modo ,0,
18.25, ºC     ,19:54:26,TomaNro= 10,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
18.31, ºC     ,19:54:28,TomaNro= 11,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
18.37, ºC     ,19:54:30,TomaNro= 12,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
18.44, ºC     ,19:54:31,TomaNro= 13,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
18.5, ºC     ,19:54:33,TomaNro= 14,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
18.56, ºC     ,19:54:33,TomaNro= 15,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
18.69, ºC     ,19:54:34,TomaNro= 16,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
18.87, ºC     ,19:54:35,TomaNro= 17,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
19.0, ºC     ,19:54:36,TomaNro= 18,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
19.19, ºC     ,19:54:36,TomaNro= 19,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
19.44, ºC     ,19:54:37,TomaNro= 20,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
19.62, ºC     ,19:54:38,TomaNro= 21,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
19.81, ºC     ,19:54:39,TomaNro= 22,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
19.94, ºC     ,19:54:40,TomaNro= 23,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.06, ºC     ,19:54:41,TomaNro= 24,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.12, ºC     ,19:54:41,TomaNro= 25,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.19, ºC     ,19:54:42,TomaNro= 26,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.25, ºC     ,19:54:43,TomaNro= 27,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.31, ºC     ,19:54:44,TomaNro= 28,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.37, ºC     ,19:54:45,TomaNro= 29,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.44, ºC     ,19:54:46,TomaNro= 30,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,0,
20.5, ºC     ,19:54:48,TomaNro= 31,    T1 Goal: ,20.0,T2 Meta ,16.0,Modo ,2,
20.56, ºC     ,19:54:50,TomaNro= 32,    T1 Goal: ,20.0,T2 Meta ,20.0,Modo ,2,
20.62, ºC     ,19:54:53,TomaNro= 33,    T1 Goal: ,20.0,T2 Meta ,23.0,Modo ,2,
20.69, ºC     ,19:55:0,TomaNro= 34,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
20.75, ºC     ,19:55:5,TomaNro= 35,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
20.81, ºC     ,19:55:7,TomaNro= 36,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
20.87, ºC     ,19:55:8,TomaNro= 37,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.0, ºC     ,19:55:9,TomaNro= 38,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.12, ºC     ,19:55:10,TomaNro= 39,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.31, ºC     ,19:55:11,TomaNro= 40,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.44, ºC     ,19:55:11,TomaNro= 41,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.62, ºC     ,19:55:12,TomaNro= 42,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.69, ºC     ,19:55:13,TomaNro= 43,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.75, ºC     ,19:55:14,TomaNro= 44,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.87, ºC     ,19:55:15,TomaNro= 45,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.94, ºC     ,19:55:16,TomaNro= 46,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
22.0, ºC     ,19:55:19,TomaNro= 47,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.94, ºC     ,19:55:29,TomaNro= 48,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
22.0, ºC     ,19:55:29,TomaNro= 49,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
21.94, ºC     ,19:55:33,TomaNro= 50,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
22.0, ºC     ,19:55:56,TomaNro= 51,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2EVENTO= 1,
21.94, ºC     ,19:55:57,TomaNro= 52,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
22.0, ºC     ,19:55:58,TomaNro= 53,    T1 Goal: ,22.0,T2 Meta ,29.0,Modo ,2,
22.06, ºC     ,19:56:10,TomaNro= 54,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
22.12, ºC     ,19:56:20,TomaNro= 55,    T1 Goal: ,23.0,T2 Meta ,29.0,Modo ,2,
22.19, ºC     ,19:56:32,TomaNro= 56,    T1 Goal: ,23.0,T2 Meta ,29.0,Modo ,2,
22.25, ºC     ,19:56:43,TomaNro= 57,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
22.19, ºC     ,19:56:44,TomaNro= 58,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
22.31, ºC     ,19:56:45,TomaNro= 59,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
22.37, ºC     ,19:56:46,TomaNro= 60,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
22.56, ºC     ,19:56:47,TomaNro= 61,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
22.75, ºC     ,19:56:47,TomaNro= 62,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
22.94, ºC     ,19:56:48,TomaNro= 63,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
23.12, ºC     ,19:56:49,TomaNro= 64,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
23.31, ºC     ,19:56:50,TomaNro= 65,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
23.5, ºC     ,19:56:50,TomaNro= 66,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
23.69, ºC     ,19:56:51,TomaNro= 67,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
23.87, ºC     ,19:56:52,TomaNro= 68,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.12, ºC     ,19:56:53,TomaNro= 69,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.31, ºC     ,19:56:54,TomaNro= 70,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.5, ºC     ,19:56:54,TomaNro= 71,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.62, ºC     ,19:56:55,TomaNro= 72,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.75, ºC     ,19:56:56,TomaNro= 73,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.81, ºC     ,19:56:57,TomaNro= 74,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.87, ºC     ,19:56:58,TomaNro= 75,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.94, ºC     ,19:56:59,TomaNro= 76,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.87, ºC     ,19:57:4,TomaNro= 77,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
24.81, ºC     ,19:57:7,TomaNro= 78,    T1 Goal: ,25.0,T2 Meta ,29.0,Modo ,2,
