  ,  , Corrida: ,3 seg ,  ,  , Peltier: ,29.56, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,16:30:6,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,4 seg ,  ,  , Peltier: ,29.5, ºC     , teInsta: ,31.06, ºC     , Disip: ,0.0, ºC     ,  ,16:30:7,  E: ,HEATINGconPWM=171,   TomaNro= 2,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,7 seg ,  ,  , Peltier: ,29.44, ºC     , teInsta: ,31.06, ºC     , Disip: ,0.0, ºC     ,  ,16:30:10,  E: ,HEATINGconPWM=180,   TomaNro= 3,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,10 seg ,  ,  , Peltier: ,29.37, ºC     , teInsta: ,31.06, ºC     , Disip: ,0.0, ºC     ,  ,16:30:13,  E: ,HEATINGconPWM=190,   TomaNro= 4,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,13 seg ,  ,  , Peltier: ,29.31, ºC     , teInsta: ,31.06, ºC     , Disip: ,0.0, ºC     ,  ,16:30:16,  E: ,HEATINGconPWM=199,   TomaNro= 5,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,16 seg ,  ,  , Peltier: ,29.25, ºC     , teInsta: ,31.06, ºC     , Disip: ,0.0, ºC     ,  ,16:30:19,  E: ,HEATINGconPWM=209,   TomaNro= 6,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,19 seg ,  ,  , Peltier: ,29.19, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:22,  E: ,HEATINGconPWM=220,   TomaNro= 7,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,22 seg ,  ,  , Peltier: ,29.25, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:25,  E: ,HEATINGconPWM=231,   TomaNro= 8,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,25 seg ,  ,  , Peltier: ,29.31, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:28,  E: ,HEATINGconPWM=220,   TomaNro= 9,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,25 seg ,  ,  , Peltier: ,29.37, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:28,  E: ,HEATINGconPWM=210,   TomaNro= 10,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,26 seg ,  ,  , Peltier: ,29.44, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:29,  E: ,HEATINGconPWM=200,   TomaNro= 11,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,27 seg ,  ,  , Peltier: ,29.5, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:30,  E: ,HEATINGconPWM=190,   TomaNro= 12,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,28 seg ,  ,  , Peltier: ,29.62, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:31,  E: ,HEATINGconPWM=181,   TomaNro= 13,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,29 seg ,  ,  , Peltier: ,29.75, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:32,  E: ,HEATINGconPWM=163,   TomaNro= 14,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,29 seg ,  ,  , Peltier: ,29.87, ºC     , teInsta: ,31.06, ºC     , Disip: ,24.0, ºC     ,  ,16:30:32,  E: ,HEATINGconPWM=148,   TomaNro= 15,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,30 seg ,  ,  , Peltier: ,30.0, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:33,  E: ,HEATINGconPWM=133,   TomaNro= 16,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,31 seg ,  ,  , Peltier: ,30.12, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:34,  E: ,HEATINGconPWM=120,   TomaNro= 17,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,32 seg ,  ,  , Peltier: ,30.25, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:35,  E: ,HEATINGconPWM=108,   TomaNro= 18,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,32 seg ,  ,  , Peltier: ,30.44, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:36,  E: ,HEATINGconPWM=98,   TomaNro= 19,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,33 seg ,  ,  , Peltier: ,30.56, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:36,  E: ,HEATINGconPWM=86,   TomaNro= 20,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,34 seg ,  ,  , Peltier: ,30.75, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:37,  E: ,HEATINGconPWM=79,   TomaNro= 21,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,35 seg ,  ,  , Peltier: ,30.94, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:38,  E: ,BALANCEconPWM=72,   TomaNro= 22,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,36 seg ,  ,  , Peltier: ,31.12, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:39,  E: ,BALANCEconPWM=68,   TomaNro= 23,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,37 seg ,  ,  , Peltier: ,31.31, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:40,  E: ,BALANCEconPWM=68,   TomaNro= 24,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,38 seg ,  ,  , Peltier: ,31.44, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:41,  E: ,BALANCEconPWM=70,   TomaNro= 25,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,38 seg ,  ,  , Peltier: ,31.56, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:41,  E: ,COOLINGconPWM=74,   TomaNro= 26,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,39 seg ,  ,  , Peltier: ,31.69, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:42,  E: ,COOLINGconPWM=79,   TomaNro= 27,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,40 seg ,  ,  , Peltier: ,31.75, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:43,  E: ,COOLINGconPWM=85,   TomaNro= 28,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,41 seg ,  ,  , Peltier: ,31.81, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:44,  E: ,COOLINGconPWM=89,   TomaNro= 29,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,41 seg ,  ,  , Peltier: ,31.87, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:45,  E: ,COOLINGconPWM=93,   TomaNro= 30,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,42 seg ,  ,  , Peltier: ,31.94, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:45,  E: ,COOLINGconPWM=98,   TomaNro= 31,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,44 seg ,  ,  , Peltier: ,31.87, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:47,  E: ,COOLINGconPWM=103,   TomaNro= 32,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,46 seg ,  ,  , Peltier: ,31.81, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:49,  E: ,COOLINGconPWM=98,   TomaNro= 33,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,47 seg ,  ,  , Peltier: ,31.75, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:50,  E: ,COOLINGconPWM=93,   TomaNro= 34,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,48 seg ,  ,  , Peltier: ,31.69, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:51,  E: ,COOLINGconPWM=89,   TomaNro= 35,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,49 seg ,  ,  , Peltier: ,31.56, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:52,  E: ,COOLINGconPWM=85,   TomaNro= 36,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,50 seg ,  ,  , Peltier: ,31.5, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:53,  E: ,COOLINGconPWM=79,   TomaNro= 37,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,51 seg ,  ,  , Peltier: ,31.44, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:54,  E: ,COOLINGconPWM=76,   TomaNro= 38,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,52 seg ,  ,  , Peltier: ,31.37, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:55,  E: ,COOLINGconPWM=74,   TomaNro= 39,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,52 seg ,  ,  , Peltier: ,31.31, ºC     , teInsta: ,31.07, ºC     , Disip: ,24.0, ºC     ,  ,16:30:56,  E: ,BALANCEconPWM=72,   TomaNro= 40,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
