16.31, ºC     ,19:57:29,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
16.37, ºC     ,19:57:30,TomaNro= 2,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,2,
16.44, ºC     ,19:57:31,TomaNro= 3,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,2,
16.5, ºC     ,19:57:31,TomaNro= 4,    T1 Goal: ,27.0,T2 Meta ,16.0,Modo ,2,
16.56, ºC     ,19:57:33,TomaNro= 5,    T1 Goal: ,21.0,T2 Meta ,16.0,Modo ,2,
16.62, ºC     ,19:57:33,TomaNro= 6,    T1 Goal: ,17.0,T2 Meta ,16.0,Modo ,2,
16.69, ºC     ,19:57:34,TomaNro= 7,    T1 Goal: ,15.0,T2 Meta ,16.0,Modo ,2,
16.75, ºC     ,19:57:36,TomaNro= 8,    T1 Goal: ,19.0,T2 Meta ,16.0,Modo ,2,
16.81, ºC     ,19:57:37,TomaNro= 9,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
16.87, ºC     ,19:57:38,TomaNro= 10,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
16.94, ºC     ,19:57:40,TomaNro= 11,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.0, ºC     ,19:57:41,TomaNro= 12,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.06, ºC     ,19:57:42,TomaNro= 13,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.12, ºC     ,19:57:43,TomaNro= 14,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.19, ºC     ,19:57:44,TomaNro= 15,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.25, ºC     ,19:57:46,TomaNro= 16,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.31, ºC     ,19:57:47,TomaNro= 17,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.37, ºC     ,19:57:49,TomaNro= 18,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.44, ºC     ,19:57:51,TomaNro= 19,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.5, ºC     ,19:57:53,TomaNro= 20,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.56, ºC     ,19:57:54,TomaNro= 21,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.62, ºC     ,19:57:56,TomaNro= 22,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.69, ºC     ,19:57:58,TomaNro= 23,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.75, ºC     ,19:58:1,TomaNro= 24,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.81, ºC     ,19:58:3,TomaNro= 25,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.87, ºC     ,19:58:6,TomaNro= 26,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
17.94, ºC     ,19:58:8,TomaNro= 27,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
18.0, ºC     ,19:58:10,TomaNro= 28,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
18.06, ºC     ,19:58:13,TomaNro= 29,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
