
23:26:2,TomaNro= 6,    Disip: ,35.44, ºC     , Peltier: ,19.51, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,40 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,HEATINGconPWM=197,
23:26:8,TomaNro= 7,    Disip: ,35.44, ºC     , Peltier: ,20.65, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,46 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:26:14,TomaNro= 8,    Disip: ,35.44, ºC     , Peltier: ,21.46, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,52 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:26:20,TomaNro= 9,    Disip: ,35.44, ºC     , Peltier: ,21.81, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,58 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=255,
23:26:26,TomaNro= 10,    Disip: ,35.44, ºC     , Peltier: ,21.46, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,64 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=255,
23:26:32,TomaNro= 11,    Disip: ,35.44, ºC     , Peltier: ,20.67, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,70 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=255,
23:26:39,TomaNro= 12,    Disip: ,35.44, ºC     , Peltier: ,19.74, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,77 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:26:45,TomaNro= 13,    Disip: ,35.44, ºC     , Peltier: ,19.5, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,83 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:26:52,TomaNro= 14,    Disip: ,35.44, ºC     , Peltier: ,19.72, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,90 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:26:58,TomaNro= 15,    Disip: ,35.44, ºC     , Peltier: ,20.01, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,96 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:27:5,TomaNro= 16,    Disip: ,35.44, ºC     , Peltier: ,20.32, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,103 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:27:11,TomaNro= 17,    Disip: ,35.44, ºC     , Peltier: ,20.59, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,109 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:27:18,TomaNro= 18,    Disip: ,35.44, ºC     , Peltier: ,20.84, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,116 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:27:24,TomaNro= 19,    Disip: ,35.44, ºC     , Peltier: ,21.01, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,122 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=183,
23:27:31,TomaNro= 20,    Disip: ,35.44, ºC     , Peltier: ,20.68, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,129 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=212,
23:27:37,TomaNro= 21,    Disip: ,35.44, ºC     , Peltier: ,19.96, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,135 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:27:44,TomaNro= 22,    Disip: ,35.44, ºC     , Peltier: ,19.74, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,142 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:27:50,TomaNro= 23,    Disip: ,35.44, ºC     , Peltier: ,19.87, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,148 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:27:57,TomaNro= 24,    Disip: ,35.44, ºC     , Peltier: ,20.07, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,155 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:28:3,TomaNro= 25,    Disip: ,35.44, ºC     , Peltier: ,20.29, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,161 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:28:10,TomaNro= 26,    Disip: ,35.44, ºC     , Peltier: ,20.46, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,168 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:28:16,TomaNro= 27,    Disip: ,35.44, ºC     , Peltier: ,20.64, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,174 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
