22:41:22,TomaNro= 1,    Disip: ,0.0, ºC     , Peltier: ,26.71, ºC     , teInsta: ,0.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,8 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0  E: ,HEATINGconPWM=255,
22:41:28,TomaNro= 2,    Disip: ,0.0, ºC     , Peltier: ,26.79, ºC     , teInsta: ,17.33, ºC     , teAire: ,21.5, ºC     , Corrida: ,14 seg , T1 Goal: ,4.0,T2 Meta ,20.0,Modo ,0  E: ,COOLINGconPWM=255,
22:41:34,TomaNro= 3,    Disip: ,0.0, ºC     , Peltier: ,26.85, ºC     , teInsta: ,17.13, ºC     , teAire: ,21.5, ºC     , Corrida: ,20 seg , T1 Goal: ,4.0,T2 Meta ,22.0,Modo ,0  E: ,COOLINGconPWM=255,
22:41:40,TomaNro= 4,    Disip: ,0.0, ºC     , Peltier: ,26.91, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,26 seg , T1 Goal: ,4.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:41:46,TomaNro= 5,    Disip: ,31.81, ºC     , Peltier: ,26.96, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,32 seg , T1 Goal: ,4.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:41:53,TomaNro= 6,    Disip: ,31.75, ºC     , Peltier: ,27.04, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,39 seg , T1 Goal: ,4.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:42:0,TomaNro= 7,    Disip: ,31.75, ºC     , Peltier: ,27.0, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,45 seg , T1 Goal: ,4.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:42:5,TomaNro= 8,    Disip: ,31.75, ºC     , Peltier: ,26.37, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,51 seg , T1 Goal: ,4.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:42:11,TomaNro= 9,    Disip: ,31.75, ºC     , Peltier: ,25.38, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,57 seg , T1 Goal: ,23.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:42:17,TomaNro= 10,    Disip: ,31.75, ºC     , Peltier: ,24.37, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,63 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:42:24,TomaNro= 11,    Disip: ,33.56, ºC     , Peltier: ,23.23, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,70 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:42:31,TomaNro= 12,    Disip: ,33.56, ºC     , Peltier: ,22.06, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,77 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
