16:15:53,TomaNro= 3,    Disip: ,0.0, ºC     , Peltier: ,22.0, ºC     , teInsta: ,17.24, ºC     , teAire: ,25.0, ºC     , Corrida: ,22 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:0,TomaNro= 4,    Disip: ,24.37, ºC     , Peltier: ,22.05, ºC     , teInsta: ,17.24, ºC     , teAire: ,25.0, ºC     , Corrida: ,29 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:6,TomaNro= 5,    Disip: ,24.31, ºC     , Peltier: ,22.06, ºC     , teInsta: ,17.24, ºC     , teAire: ,25.0, ºC     , Corrida: ,35 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:13,TomaNro= 6,    Disip: ,24.31, ºC     , Peltier: ,22.02, ºC     , teInsta: ,17.24, ºC     , teAire: ,25.0, ºC     , Corrida: ,42 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:19,TomaNro= 7,    Disip: ,24.31, ºC     , Peltier: ,21.36, ºC     , teInsta: ,17.24, ºC     , teAire: ,25.0, ºC     , Corrida: ,48 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:25,TomaNro= 8,    Disip: ,24.31, ºC     , Peltier: ,20.37, ºC     , teInsta: ,17.24, ºC     , teAire: ,25.0, ºC     , Corrida: ,54 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:31,TomaNro= 9,    Disip: ,24.31, ºC     , Peltier: ,19.37, ºC     , teInsta: ,17.24, ºC     , teAire: ,25.0, ºC     , Corrida: ,60 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:38,TomaNro= 10,    Disip: ,27.56, ºC     , Peltier: ,18.26, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,67 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:16:44,TomaNro= 11,    Disip: ,27.56, ºC     , Peltier: ,17.25, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,73 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=225,
16:16:51,TomaNro= 12,    Disip: ,27.56, ºC     , Peltier: ,16.4, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,80 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165EVENTO= 1,
16:16:57,TomaNro= 13,    Disip: ,27.56, ºC     , Peltier: ,16.34, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,86 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,HEATINGconPWM=165,
16:17:4,TomaNro= 14,    Disip: ,27.56, ºC     , Peltier: ,17.28, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,93 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,HEATINGconPWM=183,
16:17:10,TomaNro= 15,    Disip: ,27.56, ºC     , Peltier: ,18.69, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,99 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:17:16,TomaNro= 16,    Disip: ,27.56, ºC     , Peltier: ,19.5, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,105 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:17:23,TomaNro= 17,    Disip: ,27.56, ºC     , Peltier: ,19.3, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,111 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:17:29,TomaNro= 18,    Disip: ,27.56, ºC     , Peltier: ,18.61, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,118 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:17:35,TomaNro= 19,    Disip: ,27.56, ºC     , Peltier: ,17.79, ºC     , teInsta: ,17.2, ºC     , teAire: ,25.0, ºC     , Corrida: ,124 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=253,
16:17:41,TomaNro= 20,    Disip: ,27.56, ºC     , Peltier: ,16.93, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,130 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:17:48,TomaNro= 21,    Disip: ,27.56, ºC     , Peltier: ,16.8, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,137 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:17:55,TomaNro= 22,    Disip: ,33.38, ºC     , Peltier: ,17.21, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,144 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:18:2,TomaNro= 23,    Disip: ,33.38, ºC     , Peltier: ,17.67, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,151 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:18:8,TomaNro= 24,    Disip: ,33.38, ºC     , Peltier: ,18.12, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,157 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:18:14,TomaNro= 25,    Disip: ,33.38, ºC     , Peltier: ,18.47, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,163 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=197,
16:18:20,TomaNro= 26,    Disip: ,33.38, ºC     , Peltier: ,18.3, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,169 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=250,
16:18:27,TomaNro= 27,    Disip: ,33.38, ºC     , Peltier: ,17.62, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,176 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=235,
16:18:34,TomaNro= 28,    Disip: ,33.38, ºC     , Peltier: ,16.83, ºC     , teInsta: ,17.17, ºC     , teAire: ,25.0, ºC     , Corrida: ,183 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
