  ,  , Corrida: ,8 seg ,  ,  , Peltier: ,19.44, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,16:9:43,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,36 seg ,  ,  , Peltier: ,19.46, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:10,  E: ,HEATINGconPWM=255,   TomaNro= 2,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,41 seg ,  ,  , Peltier: ,19.89, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:15,  E: ,HEATINGconPWM=255,   TomaNro= 3,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,46 seg ,  ,  , Peltier: ,20.65, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:21,  E: ,HEATINGconPWM=255,   TomaNro= 4,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,52 seg ,  ,  , Peltier: ,21.48, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:26,  E: ,HEATINGconPWM=255,   TomaNro= 5,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,57 seg ,  ,  , Peltier: ,22.31, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:31,  E: ,HEATINGconPWM=255,   TomaNro= 6,   Modo ,2,   EVENTO= 1,
  ,  , Corrida: ,62 seg ,  ,  , Peltier: ,23.16, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:36,  E: ,HEATINGconPWM=255,   TomaNro= 7,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,68 seg ,  ,  , Peltier: ,23.96, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:42,  E: ,HEATINGconPWM=255,   TomaNro= 8,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,73 seg ,  ,  , Peltier: ,24.75, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:47,  E: ,HEATINGconPWM=255,   TomaNro= 9,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,78 seg ,  ,  , Peltier: ,25.5, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:52,  E: ,HEATINGconPWM=255,   TomaNro= 10,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,83 seg ,  ,  , Peltier: ,26.23, ºC     , teInsta: ,29.36, ºC     , Disip: ,19.56, ºC     ,  ,16:10:57,  E: ,HEATINGconPWM=255,   TomaNro= 11,   Modo ,2,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
