  ,  , Corrida: ,8 seg ,  ,  , Peltier: ,21.8, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,0:9:42,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,13 seg ,  ,  , Peltier: ,21.81, ºC     , teInsta: ,29.35, ºC     , Disip: ,0.0, ºC     ,  ,0:9:47,  E: ,HEATINGconPWM=255,   TomaNro= 2,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,35 seg ,  ,  , Peltier: ,21.82, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:9,  E: ,HEATINGconPWM=255,   TomaNro= 3,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,40 seg ,  ,  , Peltier: ,22.25, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:14,  E: ,HEATINGconPWM=255,   TomaNro= 4,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,45 seg ,  ,  , Peltier: ,22.97, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:19,  E: ,HEATINGconPWM=255,   TomaNro= 5,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,50 seg ,  ,  , Peltier: ,23.78, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:24,  E: ,HEATINGconPWM=255,   TomaNro= 6,   Modo ,3,   EVENTO= 1,
  ,  , Corrida: ,56 seg ,  ,  , Peltier: ,24.6, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:30,  E: ,HEATINGconPWM=255,   TomaNro= 7,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,61 seg ,  ,  , Peltier: ,25.42, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:35,  E: ,HEATINGconPWM=255,   TomaNro= 8,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,66 seg ,  ,  , Peltier: ,26.21, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:40,  E: ,HEATINGconPWM=255,   TomaNro= 9,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,71 seg ,  ,  , Peltier: ,26.96, ºC     , teInsta: ,29.37, ºC     , Disip: ,0.0, ºC     ,  ,0:10:45,  E: ,HEATINGconPWM=255,   TomaNro= 10,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,77 seg ,  ,  , Peltier: ,27.71, ºC     , teInsta: ,29.38, ºC     , Disip: ,0.0, ºC     ,  ,0:10:51,  E: ,HEATINGconPWM=255,   TomaNro= 11,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,82 seg ,  ,  , Peltier: ,28.44, ºC     , teInsta: ,29.39, ºC     , Disip: ,0.0, ºC     ,  ,0:10:56,  E: ,HEATINGconPWM=245,   TomaNro= 12,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,87 seg ,  ,  , Peltier: ,29.11, ºC     , teInsta: ,29.39, ºC     , Disip: ,0.0, ºC     ,  ,0:11:1,  E: ,HEATINGconPWM=165,   TomaNro= 13,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,93 seg ,  ,  , Peltier: ,29.62, ºC     , teInsta: ,29.39, ºC     , Disip: ,0.0, ºC     ,  ,0:11:7,  E: ,BALANCEconPWM=165,   TomaNro= 14,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,98 seg ,  ,  , Peltier: ,29.79, ºC     , teInsta: ,29.39, ºC     , Disip: ,0.0, ºC     ,  ,0:11:12,  E: ,BALANCEconPWM=165,   TomaNro= 15,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
