  ,  , Corrida: ,7 seg ,  ,  , Peltier: ,20.58, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,23:32:31,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,12 seg ,  ,  , Peltier: ,20.62, ºC     , teInsta: ,21.41, ºC     , Disip: ,0.0, ºC     ,  ,23:32:37,  E: ,HEATINGconPWM=99,   TomaNro= 2,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,29 seg ,  ,  , Peltier: ,20.66, ºC     , teInsta: ,21.39, ºC     , Disip: ,21.81, ºC     ,  ,23:32:53,  E: ,HEATINGconPWM=94,   TomaNro= 3,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,35 seg ,  ,  , Peltier: ,20.88, ºC     , teInsta: ,21.39, ºC     , Disip: ,21.81, ºC     ,  ,23:32:59,  E: ,HEATINGconPWM=92,   TomaNro= 4,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,40 seg ,  ,  , Peltier: ,21.78, ºC     , teInsta: ,21.38, ºC     , Disip: ,21.81, ºC     ,  ,23:33:4,  E: ,HEATINGconPWM=79,   TomaNro= 5,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,45 seg ,  ,  , Peltier: ,23.17, ºC     , teInsta: ,21.38, ºC     , Disip: ,21.81, ºC     ,  ,23:33:9,  E: ,COOLINGconPWM=75,   TomaNro= 6,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,51 seg ,  ,  , Peltier: ,23.85, ºC     , teInsta: ,21.38, ºC     , Disip: ,21.81, ºC     ,  ,23:33:15,  E: ,COOLINGconPWM=216,   TomaNro= 7,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,56 seg ,  ,  , Peltier: ,23.61, ºC     , teInsta: ,21.38, ºC     , Disip: ,21.81, ºC     ,  ,23:33:20,  E: ,COOLINGconPWM=255,   TomaNro= 8,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,61 seg ,  ,  , Peltier: ,22.9, ºC     , teInsta: ,21.38, ºC     , Disip: ,21.81, ºC     ,  ,23:33:25,  E: ,COOLINGconPWM=255,   TomaNro= 9,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,66 seg ,  ,  , Peltier: ,22.06, ºC     , teInsta: ,21.37, ºC     , Disip: ,21.81, ºC     ,  ,23:33:30,  E: ,COOLINGconPWM=176,   TomaNro= 10,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
  ,  , Corrida: ,72 seg ,  ,  , Peltier: ,21.3, ºC     , teInsta: ,21.37, ºC     , Disip: ,21.81, ºC     ,  ,23:33:36,  E: ,COOLINGconPWM=90,   TomaNro= 11,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,,
