  ,  , Corrida: ,3 seg ,  ,  , Peltier: ,31.31, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,18:40:49,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,3 seg ,  ,  , Peltier: ,31.31, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,18:40:49,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,10 seg ,  ,  , Peltier: ,31.25, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:40:56,  E: ,BALANCEconPWM=70,   TomaNro= 2,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,13 seg ,  ,  , Peltier: ,31.19, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:40:59,  E: ,BALANCEconPWM=69,   TomaNro= 3,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,15 seg ,  ,  , Peltier: ,31.12, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:1,  E: ,BALANCEconPWM=68,   TomaNro= 4,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,17 seg ,  ,  , Peltier: ,31.06, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:3,  E: ,BALANCEconPWM=68,   TomaNro= 5,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,19 seg ,  ,  , Peltier: ,31.0, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:5,  E: ,BALANCEconPWM=68,   TomaNro= 6,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,21 seg ,  ,  , Peltier: ,30.94, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:7,  E: ,BALANCEconPWM=68,   TomaNro= 7,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,22 seg ,  ,  , Peltier: ,30.87, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:8,  E: ,BALANCEconPWM=68,   TomaNro= 8,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,24 seg ,  ,  , Peltier: ,30.81, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:10,  E: ,BALANCEconPWM=69,   TomaNro= 9,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,25 seg ,  ,  , Peltier: ,30.75, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:12,  E: ,BALANCEconPWM=70,   TomaNro= 10,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,26 seg ,  ,  , Peltier: ,30.69, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:12,  E: ,BALANCEconPWM=72,   TomaNro= 11,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,29 seg ,  ,  , Peltier: ,30.62, ºC     , teInsta: ,31.06, ºC     , Disip: ,23.69, ºC     ,  ,18:41:15,  E: ,HEATINGconPWM=74,   TomaNro= 12,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,30 seg ,  ,  , Peltier: ,30.69, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:16,  E: ,HEATINGconPWM=76,   TomaNro= 13,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,31 seg ,  ,  , Peltier: ,30.75, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:17,  E: ,HEATINGconPWM=74,   TomaNro= 14,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,32 seg ,  ,  , Peltier: ,30.87, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:18,  E: ,BALANCEconPWM=72,   TomaNro= 15,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,33 seg ,  ,  , Peltier: ,31.0, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:19,  E: ,BALANCEconPWM=69,   TomaNro= 16,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,34 seg ,  ,  , Peltier: ,31.06, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:20,  E: ,BALANCEconPWM=68,   TomaNro= 17,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,34 seg ,  ,  , Peltier: ,31.19, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:21,  E: ,BALANCEconPWM=68,   TomaNro= 18,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,35 seg ,  ,  , Peltier: ,31.31, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:21,  E: ,BALANCEconPWM=68,   TomaNro= 19,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,36 seg ,  ,  , Peltier: ,31.37, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:22,  E: ,BALANCEconPWM=70,   TomaNro= 20,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,37 seg ,  ,  , Peltier: ,31.44, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:23,  E: ,BALANCEconPWM=72,   TomaNro= 21,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,39 seg ,  ,  , Peltier: ,31.5, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:25,  E: ,COOLINGconPWM=74,   TomaNro= 22,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,42 seg ,  ,  , Peltier: ,31.44, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:28,  E: ,COOLINGconPWM=76,   TomaNro= 23,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,44 seg ,  ,  , Peltier: ,31.37, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:30,  E: ,COOLINGconPWM=74,   TomaNro= 24,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,46 seg ,  ,  , Peltier: ,31.31, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:32,  E: ,BALANCEconPWM=72,   TomaNro= 25,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,46 seg ,  ,  , Peltier: ,31.25, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:33,  E: ,BALANCEconPWM=70,   TomaNro= 26,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,47 seg ,  ,  , Peltier: ,31.19, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:33,  E: ,BALANCEconPWM=69,   TomaNro= 27,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,48 seg ,  ,  , Peltier: ,31.12, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:34,  E: ,BALANCEconPWM=68,   TomaNro= 28,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,49 seg ,  ,  , Peltier: ,31.06, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:35,  E: ,BALANCEconPWM=68,   TomaNro= 29,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,50 seg ,  ,  , Peltier: ,31.0, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:36,  E: ,BALANCEconPWM=68,   TomaNro= 30,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,52 seg ,  ,  , Peltier: ,30.94, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:38,  E: ,BALANCEconPWM=68,   TomaNro= 31,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,53 seg ,  ,  , Peltier: ,30.87, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:39,  E: ,BALANCEconPWM=68,   TomaNro= 32,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
  ,  , Corrida: ,54 seg ,  ,  , Peltier: ,30.81, ºC     , teInsta: ,31.07, ºC     , Disip: ,23.69, ºC     ,  ,18:41:40,  E: ,BALANCEconPWM=69,   TomaNro= 33,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,230.0,,
