20.0, ºC     ,15:54:32,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
20.06, ºC     ,15:54:33,TomaNro= 2,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
20.12, ºC     ,15:54:35,TomaNro= 3,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
20.19, ºC     ,15:54:38,TomaNro= 4,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
20.25, ºC     ,15:54:40,TomaNro= 5,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
20.31, ºC     ,15:54:43,TomaNro= 6,    T1 Goal: ,23.0,T2 Meta ,16.0,Modo ,0,
20.37, ºC     ,15:54:47,TomaNro= 7,    T1 Goal: ,16.0,T2 Meta ,16.0,Modo ,0,
20.44, ºC     ,15:54:50,TomaNro= 8,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.5, ºC     ,15:54:55,TomaNro= 9,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.56, ºC     ,15:54:58,TomaNro= 10,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.62, ºC     ,15:55:3,TomaNro= 11,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.69, ºC     ,15:55:6,TomaNro= 12,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.75, ºC     ,15:55:11,TomaNro= 13,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.81, ºC     ,15:55:15,TomaNro= 14,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.87, ºC     ,15:55:20,TomaNro= 15,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.94, ºC     ,15:55:25,TomaNro= 16,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.81, ºC     ,15:55:30,TomaNro= 17,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.75, ºC     ,15:55:31,TomaNro= 18,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.62, ºC     ,15:55:31,TomaNro= 19,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.5, ºC     ,15:55:32,TomaNro= 20,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.37, ºC     ,15:55:33,TomaNro= 21,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
20.25, ºC     ,15:55:34,TomaNro= 22,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
