pendiente   creciente estandard = 1°C cada 4 minutos = 240.000 milisegundos

27.69, ºC     ,0.0, ºC     ,23:40:54,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
27.68, ºC     ,16.0, ºC     ,23:41:48,TomaNro= 2,    T1 Goal: ,20.0,T2 Meta ,13.0,Modo ,2EVENTO= 1,
TE PELTIER    TE INSTAN      HORA     TOMA           GOAL             META    MODO    EVENTO TXT   ENTROPIA  DATA SET  START   ABORT
-------------------------------------------------------------------------------------------------------------------------------
27.65, ºC     ,25.13, ºC     ,23:41:53,TomaNro= 3,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
27.62, ºC     ,19.72, ºC     ,23:41:59,TomaNro= 4,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2EVENTO= 0,
27.58, ºC     ,19.7, ºC     ,23:42:5,TomaNro= 5,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
27.07, ºC     ,19.68, ºC     ,23:42:10,TomaNro= 6,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
26.17, ºC     ,19.66, ºC     ,23:42:15,TomaNro= 7,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
25.2, ºC     ,19.63, ºC     ,23:42:21,TomaNro= 8,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
24.23, ºC     ,19.61, ºC     ,23:42:26,TomaNro= 9,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
23.27, ºC     ,19.59, ºC     ,23:42:31,TomaNro= 10,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
22.37, ºC     ,19.57, ºC     ,23:42:36,TomaNro= 11,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
21.46, ºC     ,19.55, ºC     ,23:42:42,TomaNro= 12,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
20.62, ºC     ,19.52, ºC     ,23:42:47,TomaNro= 13,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
19.8, ºC     ,19.5, ºC     ,23:42:52,TomaNro= 14,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
19.04, ºC     ,19.48, ºC     ,23:42:57,TomaNro= 15,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
18.5, ºC     ,19.46, ºC     ,23:43:2,TomaNro= 16,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
19.62, ºC     ,19.44, ºC     ,23:43:8,TomaNro= 17,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
21.81, ºC     ,19.42, ºC     ,23:43:13,TomaNro= 18,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
22.81, ºC     ,19.39, ºC     ,23:43:18,TomaNro= 19,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
22.6, ºC     ,19.37, ºC     ,23:43:23,TomaNro= 20,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
21.96, ºC     ,19.35, ºC     ,23:43:29,TomaNro= 21,    T1 Goal: ,20.0,T2 Meta ,15.0,Modo ,2,
