  ,  , Corrida: ,3 seg ,  ,  , Peltier: ,21.5, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,22:40:8,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,5 seg ,  ,  , Peltier: ,21.56, ºC     , teInsta: ,21.15, ºC     , Disip: ,0.0, ºC     ,  ,22:40:10,  E: ,COOLINGconPWM=73,   TomaNro= 2,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,6 seg ,  ,  , Peltier: ,21.62, ºC     , teInsta: ,21.15, ºC     , Disip: ,0.0, ºC     ,  ,22:40:11,  E: ,COOLINGconPWM=76,   TomaNro= 3,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,9 seg ,  ,  , Peltier: ,21.69, ºC     , teInsta: ,21.14, ºC     , Disip: ,0.0, ºC     ,  ,22:40:14,  E: ,COOLINGconPWM=78,   TomaNro= 4,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,11 seg ,  ,  , Peltier: ,21.75, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:16,  E: ,COOLINGconPWM=81,   TomaNro= 5,   Modo ,3,   EVENTO= 1,
  ,  , Corrida: ,12 seg ,  ,  , Peltier: ,21.81, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:17,  E: ,COOLINGconPWM=85,   TomaNro= 6,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,15 seg ,  ,  , Peltier: ,21.87, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:20,  E: ,COOLINGconPWM=88,   TomaNro= 7,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,18 seg ,  ,  , Peltier: ,21.94, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:23,  E: ,COOLINGconPWM=92,   TomaNro= 8,   Modo ,3,   EVENTO= 0,
  ,  , Corrida: ,20 seg ,  ,  , Peltier: ,22.0, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:26,  E: ,COOLINGconPWM=97,   TomaNro= 9,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,23 seg ,  ,  , Peltier: ,21.94, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:29,  E: ,COOLINGconPWM=102,   TomaNro= 10,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,27 seg ,  ,  , Peltier: ,21.87, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:32,  E: ,COOLINGconPWM=97,   TomaNro= 11,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,29 seg ,  ,  , Peltier: ,21.81, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:34,  E: ,COOLINGconPWM=93,   TomaNro= 12,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,30 seg ,  ,  , Peltier: ,21.75, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:35,  E: ,COOLINGconPWM=89,   TomaNro= 13,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,32 seg ,  ,  , Peltier: ,21.69, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:37,  E: ,COOLINGconPWM=85,   TomaNro= 14,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,33 seg ,  ,  , Peltier: ,21.62, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:38,  E: ,COOLINGconPWM=82,   TomaNro= 15,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,36 seg ,  ,  , Peltier: ,21.56, ºC     , teInsta: ,21.14, ºC     , Disip: ,31.19, ºC     ,  ,22:40:41,  E: ,COOLINGconPWM=79,   TomaNro= 16,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,37 seg ,  ,  , Peltier: ,21.5, ºC     , teInsta: ,21.13, ºC     , Disip: ,31.19, ºC     ,  ,22:40:42,  E: ,COOLINGconPWM=76,   TomaNro= 17,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,39 seg ,  ,  , Peltier: ,21.44, ºC     , teInsta: ,21.13, ºC     , Disip: ,31.19, ºC     ,  ,22:40:44,  E: ,COOLINGconPWM=74,   TomaNro= 18,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,41 seg ,  ,  , Peltier: ,21.37, ºC     , teInsta: ,21.13, ºC     , Disip: ,31.19, ºC     ,  ,22:40:46,  E: ,BALANCEconPWM=72,   TomaNro= 19,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,48 seg ,  ,  , Peltier: ,21.44, ºC     , teInsta: ,21.13, ºC     , Disip: ,31.19, ºC     ,  ,22:40:53,  E: ,BALANCEconPWM=70,   TomaNro= 20,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,51 seg ,  ,  , Peltier: ,21.5, ºC     , teInsta: ,21.13, ºC     , Disip: ,31.19, ºC     ,  ,22:40:56,  E: ,BALANCEconPWM=72,   TomaNro= 21,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,53 seg ,  ,  , Peltier: ,21.56, ºC     , teInsta: ,21.13, ºC     , Disip: ,31.19, ºC     ,  ,22:40:59,  E: ,COOLINGconPWM=74,   TomaNro= 22,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,60 seg ,  ,  , Peltier: ,21.5, ºC     , teInsta: ,21.13, ºC     , Disip: ,31.19, ºC     ,  ,22:41:5,  E: ,COOLINGconPWM=76,   TomaNro= 23,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,63 seg ,  ,  , Peltier: ,21.44, ºC     , teInsta: ,21.11, ºC     , Disip: ,31.19, ºC     ,  ,22:41:8,  E: ,COOLINGconPWM=74,   TomaNro= 24,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,66 seg ,  ,  , Peltier: ,21.37, ºC     , teInsta: ,21.11, ºC     , Disip: ,31.19, ºC     ,  ,22:41:11,  E: ,BALANCEconPWM=72,   TomaNro= 25,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,70 seg ,  ,  , Peltier: ,21.44, ºC     , teInsta: ,21.11, ºC     , Disip: ,31.19, ºC     ,  ,22:41:15,  E: ,BALANCEconPWM=71,   TomaNro= 26,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
