  ,  , Corrida: ,23 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.83, ºC     , Disip: ,20.87, ºC     ,  , Aire: ,15.22,16:40:16,22/8/2022,TomaNro= 1,   Modo ,0,   tension puente H ,0.0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.67111,  ,  , Corrida: ,32 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.83, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:40:25,22/8/2022,TomaNro= 2,   Modo ,0,   tension puente H ,8.55,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,BALANCEconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.67361,  ,  , Corrida: ,41 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.83, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:40:34,22/8/2022,TomaNro= 3,   Modo ,0,   tension puente H ,8.55,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.676111,  ,  , Corrida: ,57 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:40:50,22/8/2022,TomaNro= 4,   Modo ,0,   tension puente H ,8.55,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.680555,  ,  , Corrida: ,65 seg ,  ,  , Peltier: ,21.27, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:40:58,22/8/2022,TomaNro= 5,   Modo ,0,   tension puente H ,8.55,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,BALANCEconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.682777,  ,  , Corrida: ,74 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:41:7,22/8/2022,TomaNro= 6,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.685276,  ,  , Corrida: ,83 seg ,  ,  , Peltier: ,21.26, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.83, ºC     ,  , Aire: ,15.22,16:41:16,22/8/2022,TomaNro= 7,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.687777,  ,  , Corrida: ,92 seg ,  ,  , Peltier: ,21.27, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.84, ºC     ,  , Aire: ,15.22,16:41:25,22/8/2022,TomaNro= 8,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,BALANCEconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.690277,  ,  , Corrida: ,101 seg ,  ,  , Peltier: ,21.3, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.84, ºC     ,  , Aire: ,15.22,16:41:34,22/8/2022,TomaNro= 9,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.692778,  ,  , Corrida: ,110 seg ,  ,  , Peltier: ,21.32, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:41:43,22/8/2022,TomaNro= 10,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.695276,  ,  , Corrida: ,119 seg ,  ,  , Peltier: ,21.31, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:41:52,22/8/2022,TomaNro= 11,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
STATUS-SE 2,HEATINGconPWM=255y35,pseudoPID-RANGO SE 15,2.0,pseudoPID-HOT/COOL SE 16,38.0,pseudoPID-HISTERESIS SE 17,0.33, Hora Calc,16.697777,  ,  , Corrida: ,128 seg ,  ,  , Peltier: ,21.3, ºC     , teInsta: ,31.84, ºC     , Disip: ,20.85, ºC     ,  , Aire: ,15.22,16:42:1,22/8/2022,TomaNro= 12,   Modo ,0,   tension puente H ,8.53,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,730.0,,
