  ,  , Corrida: ,9 seg ,  ,  , Peltier: ,21.12, ºC     , teInsta: ,0.0, ºC     , Disip: ,0.0, ºC     ,  ,5:9:40,  E: ,HEATINGconPWM=255,   TomaNro= 1,   Modo ,0,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,84 seg ,  ,  , Peltier: ,21.13, ºC     , teInsta: ,16.38, ºC     , Disip: ,21.37, ºC     ,  ,5:10:55,  E: ,COOLINGconPWM=255,   TomaNro= 2,   Modo ,3,   EVENTO= 2,
  ,  , Corrida: ,89 seg ,  ,  , Peltier: ,21.12, ºC     , teInsta: ,16.38, ºC     , Disip: ,21.37, ºC     ,  ,5:11:0,  E: ,COOLINGconPWM=255,   TomaNro= 3,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,434 seg ,  ,  , Peltier: ,21.12, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:16:45,  E: ,COOLINGconPWM=255,   TomaNro= 4,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,439 seg ,  ,  , Peltier: ,21.12, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:16:50,  E: ,COOLINGconPWM=255,   TomaNro= 5,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,455 seg ,  ,  , Peltier: ,21.11, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:6,  E: ,COOLINGconPWM=255,   TomaNro= 6,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,460 seg ,  ,  , Peltier: ,21.1, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:11,  E: ,COOLINGconPWM=255,   TomaNro= 7,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,465 seg ,  ,  , Peltier: ,21.09, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:16,  E: ,COOLINGconPWM=255,   TomaNro= 8,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,471 seg ,  ,  , Peltier: ,21.1, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:22,  E: ,COOLINGconPWM=255,   TomaNro= 9,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,476 seg ,  ,  , Peltier: ,21.08, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:27,  E: ,COOLINGconPWM=255,   TomaNro= 10,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,486 seg ,  ,  , Peltier: ,21.11, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:37,  E: ,COOLINGconPWM=255,   TomaNro= 11,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,492 seg ,  ,  , Peltier: ,21.08, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:43,  E: ,COOLINGconPWM=255,   TomaNro= 12,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,507 seg ,  ,  , Peltier: ,21.07, ºC     , teInsta: ,16.36, ºC     , Disip: ,21.37, ºC     ,  ,5:17:58,  E: ,COOLINGconPWM=255,   TomaNro= 13,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
