:7:39,TomaNro= 6,    Disip: ,0.0, ºC     , Peltier: ,25.81, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,38 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:7:45,TomaNro= 7,    Disip: ,28.81, ºC     , Peltier: ,25.87, ºC     , teInsta: ,23.92, ºC     , teAire: ,21.5, ºC     , Corrida: ,44 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:7:52,TomaNro= 8,    Disip: ,28.81, ºC     , Peltier: ,25.79, ºC     , teInsta: ,19.26, ºC     , teAire: ,21.5, ºC     , Corrida: ,51 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:7:58,TomaNro= 9,    Disip: ,28.81, ºC     , Peltier: ,25.14, ºC     , teInsta: ,17.86, ºC     , teAire: ,21.5, ºC     , Corrida: ,57 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:8:5,TomaNro= 10,    Disip: ,29.44, ºC     , Peltier: ,24.05, ºC     , teInsta: ,17.28, ºC     , teAire: ,21.5, ºC     , Corrida: ,64 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:8:11,TomaNro= 11,    Disip: ,29.44, ºC     , Peltier: ,23.0, ºC     , teInsta: ,17.11, ºC     , teAire: ,21.5, ºC     , Corrida: ,70 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:8:17,TomaNro= 12,    Disip: ,31.25, ºC     , Peltier: ,21.87, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,76 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:8:23,TomaNro= 13,    Disip: ,31.25, ºC     , Peltier: ,20.93, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,82 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:8:29,TomaNro= 14,    Disip: ,31.25, ºC     , Peltier: ,19.98, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,88 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:8:35,TomaNro= 15,    Disip: ,31.25, ºC     , Peltier: ,19.1, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,94 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:8:41,TomaNro= 16,    Disip: ,31.25, ºC     , Peltier: ,18.36, ºC     , teInsta: ,30.12, ºC     , teAire: ,21.5, ºC     , Corrida: ,100 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:8:47,TomaNro= 17,    Disip: ,31.25, ºC     , Peltier: ,18.94, ºC     , teInsta: ,22.02, ºC     , teAire: ,21.5, ºC     , Corrida: ,106 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:8:54,TomaNro= 18,    Disip: ,31.25, ºC     , Peltier: ,20.59, ºC     , teInsta: ,18.64, ºC     , teAire: ,21.5, ºC     , Corrida: ,113 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165,

0:9:0,TomaNro= 19,    Disip: ,31.25, ºC     , Peltier: ,21.53, ºC     , teInsta: ,17.63, ºC     , teAire: ,21.5, ºC     , Corrida: ,119 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:9:6,TomaNro= 20,    Disip: ,31.25, ºC     , Peltier: ,21.37, ºC     , teInsta: ,17.24, ºC     , teAire: ,21.5, ºC     , Corrida: ,125 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:9:12,TomaNro= 21,    Disip: ,31.25, ºC     , Peltier: ,20.65, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,131 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:9:18,TomaNro= 22,    Disip: ,31.25, ºC     , Peltier: ,19.8, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,137 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
