10:47:58,TomaNro= 1,    Disip: ,0.0, ºC     , Peltier: ,17.52, ºC     , teInsta: ,0.0, ºC     , teAire: ,20.0, ºC     , Corrida: ,7 seg , T1 Goal: ,15.0,T2 Meta ,16.0,Modo ,3  E: ,HEATINGconPWM=255,
10:48:4,TomaNro= 2,    Disip: ,0.0, ºC     , Peltier: ,17.66, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.0, ºC     , Corrida: ,14 seg , T1 Goal: ,13.0,T2 Meta ,21.0,Modo ,3  E: ,HEATINGconPWM=255,
10:48:10,TomaNro= 3,    Disip: ,0.0, ºC     , Peltier: ,17.77, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.0, ºC     , Corrida: ,20 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=255,
10:48:16,TomaNro= 4,    Disip: ,22.69, ºC     , Peltier: ,17.86, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.25, ºC     , Corrida: ,26 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=255,
10:48:23,TomaNro= 5,    Disip: ,22.69, ºC     , Peltier: ,18.06, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.25, ºC     , Corrida: ,33 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=255,
10:48:29,TomaNro= 6,    Disip: ,22.69, ºC     , Peltier: ,19.16, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.25, ºC     , Corrida: ,39 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=255,
10:48:36,TomaNro= 7,    Disip: ,22.19, ºC     , Peltier: ,20.81, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.25, ºC     , Corrida: ,46 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=255,
10:48:43,TomaNro= 8,    Disip: ,22.19, ºC     , Peltier: ,22.42, ºC     , teInsta: ,21.28, ºC     , teAire: ,20.25, ºC     , Corrida: ,53 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:48:49,TomaNro= 9,    Disip: ,22.19, ºC     , Peltier: ,23.08, ºC     , teInsta: ,20.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,59 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
10:48:55,TomaNro= 10,    Disip: ,22.19, ºC     , Peltier: ,22.59, ºC     , teInsta: ,20.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,65 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255EVENTO= 1,
10:49:1,TomaNro= 11,    Disip: ,22.19, ºC     , Peltier: ,21.58, ºC     , teInsta: ,20.65, ºC     , teAire: ,20.25, ºC     , Corrida: ,71 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
