116:52:46,TomaNro= 6,    Disip: ,26.5, ºC     , Peltier: ,22.8, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,39 seg , T1 Goal: ,7.0,T2 Meta ,2.0,Modo ,2  E: ,BALANCEconPWM=165,
16:52:52,TomaNro= 7,    Disip: ,26.5, ºC     , Peltier: ,22.87, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,45 seg , T1 Goal: ,7.0,T2 Meta ,2.0,Modo ,2  E: ,BALANCEconPWM=165,
16:52:59,TomaNro= 8,    Disip: ,26.5, ºC     , Peltier: ,22.91, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,52 seg , T1 Goal: ,7.0,T2 Meta ,2.0,Modo ,2  E: ,BALANCEconPWM=165,
16:53:5,TomaNro= 9,    Disip: ,26.5, ºC     , Peltier: ,22.96, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,58 seg , T1 Goal: ,7.0,T2 Meta ,2.0,Modo ,2  E: ,BALANCEconPWM=165,
16:53:11,TomaNro= 10,    Disip: ,26.5, ºC     , Peltier: ,23.0, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,64 seg , T1 Goal: ,7.0,T2 Meta ,2.0,Modo ,2  E: ,BALANCEconPWM=165,
16:53:23,TomaNro= 11,    Disip: ,26.5, ºC     , Peltier: ,23.04, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,76 seg , T1 Goal: ,7.0,T2 Meta ,2.0,Modo ,2  E: ,BALANCEconPWM=165,
16:53:29,TomaNro= 12,    Disip: ,26.5, ºC     , Peltier: ,23.03, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,82 seg , T1 Goal: ,7.0,T2 Meta ,2.0,Modo ,2  E: ,BALANCEconPWM=165,
16:53:35,TomaNro= 13,    Disip: ,26.5, ºC     , Peltier: ,23.02, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,88 seg , T1 Goal: ,1.0,T2 Meta ,1.0,Modo ,2  E: ,BALANCEconPWM=165,
16:53:41,TomaNro= 14,    Disip: ,26.5, ºC     , Peltier: ,23.01, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,94 seg , T1 Goal: ,0.0,T2 Meta ,1.0,Modo ,1  E: ,BALANCEconPWM=165,
16:53:47,TomaNro= 15,    Disip: ,26.5, ºC     , Peltier: ,23.0, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,100 seg , T1 Goal: ,3.0,T2 Meta ,1.0,Modo ,1  E: ,BALANCEconPWM=165,
16:53:59,TomaNro= 16,    Disip: ,26.5, ºC     , Peltier: ,23.01, ºC     , teInsta: ,23.1, ºC     , teAire: ,19.75, ºC     , Corrida: ,112 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,BALANCEconPWM=165,
16:54:6,TomaNro= 17,    Disip: ,24.19, ºC     , Peltier: ,23.02, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,119 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:54:12,TomaNro= 18,    Disip: ,24.19, ºC     , Peltier: ,22.95, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,125 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:54:19,TomaNro= 19,    Disip: ,24.19, ºC     , Peltier: ,22.19, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,131 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:54:24,TomaNro= 20,    Disip: ,24.19, ºC     , Peltier: ,21.14, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,137 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:54:30,TomaNro= 21,    Disip: ,24.19, ºC     , Peltier: ,20.07, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,143 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:54:36,TomaNro= 22,    Disip: ,24.19, ºC     , Peltier: ,19.0, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,149 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
16:54:42,TomaNro= 23,    Disip: ,24.19, ºC     , Peltier: ,18.0, ºC     , teInsta: ,3.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,155 seg , T1 Goal: ,3.0,T2 Meta ,3.0,Modo ,1  E: ,COOLINGconPWM=255,
