13:51:31,TomaNro= 7,    Disip: ,23.12, ºC     , Peltier: ,19.2, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,45 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255EVENTO= 1,
13:51:37,TomaNro= 8,    Disip: ,23.12, ºC     , Peltier: ,19.27, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,51 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255EVENTO= 0,
13:51:43,TomaNro= 9,    Disip: ,23.12, ºC     , Peltier: ,19.32, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,57 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:51:49,TomaNro= 10,    Disip: ,23.12, ºC     , Peltier: ,19.37, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,63 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:51:56,TomaNro= 11,    Disip: ,23.12, ºC     , Peltier: ,19.44, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,70 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:2,TomaNro= 12,    Disip: ,23.12, ºC     , Peltier: ,19.45, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,76 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:9,TomaNro= 13,    Disip: ,23.12, ºC     , Peltier: ,19.23, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,83 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:15,TomaNro= 14,    Disip: ,23.12, ºC     , Peltier: ,18.89, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,89 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:22,TomaNro= 15,    Disip: ,23.12, ºC     , Peltier: ,18.54, ºC     , teInsta: ,24.04, ºC     , teAire: ,20.75, ºC     , Corrida: ,96 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:28,TomaNro= 16,    Disip: ,23.12, ºC     , Peltier: ,18.21, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.75, ºC     , Corrida: ,102 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:35,TomaNro= 17,    Disip: ,23.12, ºC     , Peltier: ,17.87, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.75, ºC     , Corrida: ,109 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:41,TomaNro= 18,    Disip: ,23.12, ºC     , Peltier: ,17.57, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.75, ºC     , Corrida: ,115 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:47,TomaNro= 19,    Disip: ,23.12, ºC     , Peltier: ,17.3, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.75, ºC     , Corrida: ,121 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:53,TomaNro= 20,    Disip: ,23.12, ºC     , Peltier: ,17.04, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.25, ºC     , Corrida: ,127 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:52:59,TomaNro= 21,    Disip: ,23.12, ºC     , Peltier: ,16.81, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.25, ºC     , Corrida: ,133 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:5,TomaNro= 22,    Disip: ,23.12, ºC     , Peltier: ,16.59, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.25, ºC     , Corrida: ,139 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:12,TomaNro= 23,    Disip: ,25.0, ºC     , Peltier: ,16.34, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.25, ºC     , Corrida: ,146 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:18,TomaNro= 24,    Disip: ,25.0, ºC     , Peltier: ,16.18, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.25, ºC     , Corrida: ,152 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:24,TomaNro= 25,    Disip: ,25.0, ºC     , Peltier: ,16.2, ºC     , teInsta: ,24.95, ºC     , teAire: ,20.25, ºC     , Corrida: ,158 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:30,TomaNro= 26,    Disip: ,25.0, ºC     , Peltier: ,16.32, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.25, ºC     , Corrida: ,164 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:36,TomaNro= 27,    Disip: ,25.0, ºC     , Peltier: ,16.47, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.25, ºC     , Corrida: ,170 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:42,TomaNro= 28,    Disip: ,25.0, ºC     , Peltier: ,16.63, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.25, ºC     , Corrida: ,176 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:48,TomaNro= 29,    Disip: ,25.0, ºC     , Peltier: ,16.78, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.25, ºC     , Corrida: ,182 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:53:54,TomaNro= 30,    Disip: ,25.0, ºC     , Peltier: ,16.93, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.25, ºC     , Corrida: ,188 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:0,TomaNro= 31,    Disip: ,25.0, ºC     , Peltier: ,17.05, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.0, ºC     , Corrida: ,194 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:6,TomaNro= 32,    Disip: ,25.0, ºC     , Peltier: ,17.21, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.0, ºC     , Corrida: ,200 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:12,TomaNro= 33,    Disip: ,25.0, ºC     , Peltier: ,17.34, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.0, ºC     , Corrida: ,206 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:18,TomaNro= 34,    Disip: ,25.0, ºC     , Peltier: ,17.46, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.0, ºC     , Corrida: ,212 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:24,TomaNro= 35,    Disip: ,25.0, ºC     , Peltier: ,17.59, ºC     , teInsta: ,25.82, ºC     , teAire: ,20.0, ºC     , Corrida: ,218 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:30,TomaNro= 36,    Disip: ,25.0, ºC     , Peltier: ,17.71, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,224 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:36,TomaNro= 37,    Disip: ,25.0, ºC     , Peltier: ,17.82, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,230 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:42,TomaNro= 38,    Disip: ,25.0, ºC     , Peltier: ,17.91, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,236 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:48,TomaNro= 39,    Disip: ,25.0, ºC     , Peltier: ,18.03, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,242 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:54,TomaNro= 40,    Disip: ,25.0, ºC     , Peltier: ,18.12, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,248 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:0,TomaNro= 41,    Disip: ,25.0, ºC     , Peltier: ,18.21, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,254 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:6,TomaNro= 42,    Disip: ,25.0, ºC     , Peltier: ,18.33, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,260 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:12,TomaNro= 43,    Disip: ,25.0, ºC     , Peltier: ,18.42, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,266 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:18,TomaNro= 44,    Disip: ,25.0, ºC     , Peltier: ,18.51, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,272 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:24,TomaNro= 45,    Disip: ,25.0, ºC     , Peltier: ,18.59, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,278 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:30,TomaNro= 46,    Disip: ,25.0, ºC     , Peltier: ,18.68, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,284 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:36,TomaNro= 47,    Disip: ,25.0, ºC     , Peltier: ,18.77, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,290 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:42,TomaNro= 48,    Disip: ,25.0, ºC     , Peltier: ,18.84, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,296 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:49,TomaNro= 49,    Disip: ,23.56, ºC     , Peltier: ,18.92, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,303 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:55,TomaNro= 50,    Disip: ,23.5, ºC     , Peltier: ,19.0, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,309 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:2,TomaNro= 51,    Disip: ,23.5, ºC     , Peltier: ,19.15, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,316 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:8,TomaNro= 52,    Disip: ,23.5, ºC     , Peltier: ,19.9, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,322 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:15,TomaNro= 53,    Disip: ,23.5, ºC     , Peltier: ,21.0, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,329 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:21,TomaNro= 54,    Disip: ,23.5, ºC     , Peltier: ,22.12, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,335 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:27,TomaNro= 55,    Disip: ,23.5, ºC     , Peltier: ,23.12, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,341 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:33,TomaNro= 56,    Disip: ,23.5, ºC     , Peltier: ,24.1, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,347 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:39,TomaNro= 57,    Disip: ,23.5, ºC     , Peltier: ,25.03, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,353 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:45,TomaNro= 58,    Disip: ,23.5, ºC     , Peltier: ,25.9, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,359 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:51,TomaNro= 59,    Disip: ,23.5, ºC     , Peltier: ,26.75, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,365 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:57,TomaNro= 60,    Disip: ,23.5, ºC     , Peltier: ,27.56, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,371 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=253,
13:57:3,TomaNro= 61,    Disip: ,23.5, ºC     , Peltier: ,28.29, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,377 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:10,TomaNro= 62,    Disip: ,23.5, ºC     , Peltier: ,28.5, ºC     , teInsta: ,28.15, ºC     , teAire: ,19.75, ºC     , Corrida: ,383 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:16,TomaNro= 63,    Disip: ,23.5, ºC     , Peltier: ,28.35, ºC     , teInsta: ,28.15, ºC     , teAire: ,19.75, ºC     , Corrida: ,390 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:22,TomaNro= 64,    Disip: ,23.5, ºC     , Peltier: ,28.09, ºC     , teInsta: ,28.15, ºC     , teAire: ,19.75, ºC     , Corrida: ,396 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
