18.44, ºC     ,19:43:45,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
18.5, ºC     ,19:43:45,TomaNro= 2,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
18.56, ºC     ,19:44:7,TomaNro= 3,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
18.5, ºC     ,19:44:8,TomaNro= 4,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
18.44, ºC     ,19:44:12,TomaNro= 5,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
18.37, ºC     ,19:44:13,TomaNro= 6,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
18.31, ºC     ,19:44:14,TomaNro= 7,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
18.19, ºC     ,19:44:14,TomaNro= 8,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
18.06, ºC     ,19:44:15,TomaNro= 9,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.94, ºC     ,19:44:16,TomaNro= 10,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.81, ºC     ,19:44:16,TomaNro= 11,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.69, ºC     ,19:44:17,TomaNro= 12,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.56, ºC     ,19:44:18,TomaNro= 13,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.44, ºC     ,19:44:19,TomaNro= 14,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.31, ºC     ,19:44:19,TomaNro= 15,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.19, ºC     ,19:44:20,TomaNro= 16,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
17.06, ºC     ,19:44:21,TomaNro= 17,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
16.94, ºC     ,19:44:22,TomaNro= 18,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
16.81, ºC     ,19:44:22,TomaNro= 19,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
16.69, ºC     ,19:44:23,TomaNro= 20,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
16.56, ºC     ,19:44:24,TomaNro= 21,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
16.44, ºC     ,19:44:24,TomaNro= 22,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
16.37, ºC     ,19:44:25,TomaNro= 23,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
16.25, ºC     ,19:44:26,TomaNro= 24,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
