19.69, ºC     ,-12.35, ºC     ,16:14:56,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
19.69, ºC     ,-12.35, ºC     ,16:14:56,TomaNro= 1,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
19.75, ºC     ,-12.35, ºC     ,16:14:57,TomaNro= 2,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
19.81, ºC     ,-12.35, ºC     ,16:15:0,TomaNro= 3,    T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,0,
19.87, ºC     ,-12.35, ºC     ,16:15:2,TomaNro= 4,    T1 Goal: ,2.0,T2 Meta ,16.0,Modo ,0,
19.94, ºC     ,-12.35, ºC     ,16:15:4,TomaNro= 5,    T1 Goal: ,18.0,T2 Meta ,16.0,Modo ,0,
20.0, ºC     ,-12.35, ºC     ,16:15:6,TomaNro= 6,    T1 Goal: ,19.0,T2 Meta ,16.0,Modo ,0,
20.06, ºC     ,-12.35, ºC     ,16:15:8,TomaNro= 7,    T1 Goal: ,16.0,T2 Meta ,16.0,Modo ,0,
20.12, ºC     ,-12.35, ºC     ,16:15:10,TomaNro= 8,    T1 Goal: ,16.0,T2 Meta ,16.0,Modo ,0,
20.19, ºC     ,-12.35, ºC     ,16:15:11,TomaNro= 9,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,0,
20.25, ºC     ,-12.35, ºC     ,16:15:13,TomaNro= 10,    T1 Goal: ,16.0,T2 Meta ,25.0,Modo ,0,
20.31, ºC     ,-12.35, ºC     ,16:15:16,TomaNro= 11,    T1 Goal: ,16.0,T2 Meta ,40.0,Modo ,0,
20.37, ºC     ,-12.35, ºC     ,16:15:18,TomaNro= 12,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,0,
20.44, ºC     ,-12.35, ºC     ,16:15:21,TomaNro= 13,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
20.5, ºC     ,16.13, ºC     ,16:15:25,TomaNro= 14,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
20.37, ºC     ,16.14, ºC     ,16:15:27,TomaNro= 15,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
20.31, ºC     ,16.14, ºC     ,16:15:28,TomaNro= 16,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
20.19, ºC     ,16.14, ºC     ,16:15:29,TomaNro= 17,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
20.06, ºC     ,16.14, ºC     ,16:15:30,TomaNro= 18,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.94, ºC     ,16.15, ºC     ,16:15:30,TomaNro= 19,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.81, ºC     ,16.15, ºC     ,16:15:31,TomaNro= 20,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.69, ºC     ,16.15, ºC     ,16:15:32,TomaNro= 21,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.56, ºC     ,16.16, ºC     ,16:15:32,TomaNro= 22,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.44, ºC     ,16.16, ºC     ,16:15:33,TomaNro= 23,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.31, ºC     ,16.16, ºC     ,16:15:34,TomaNro= 24,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.19, ºC     ,16.17, ºC     ,16:15:35,TomaNro= 25,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
19.06, ºC     ,16.17, ºC     ,16:15:35,TomaNro= 26,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.94, ºC     ,16.17, ºC     ,16:15:36,TomaNro= 27,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.81, ºC     ,16.17, ºC     ,16:15:37,TomaNro= 28,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.69, ºC     ,16.18, ºC     ,16:15:37,TomaNro= 29,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.56, ºC     ,16.18, ºC     ,16:15:38,TomaNro= 30,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.5, ºC     ,16.18, ºC     ,16:15:39,TomaNro= 31,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.37, ºC     ,16.19, ºC     ,16:15:40,TomaNro= 32,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.25, ºC     ,16.19, ºC     ,16:15:40,TomaNro= 33,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.12, ºC     ,16.19, ºC     ,16:15:41,TomaNro= 34,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
18.06, ºC     ,16.2, ºC     ,16:15:42,TomaNro= 35,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.94, ºC     ,16.2, ºC     ,16:15:43,TomaNro= 36,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.87, ºC     ,16.2, ºC     ,16:15:43,TomaNro= 37,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.75, ºC     ,16.2, ºC     ,16:15:44,TomaNro= 38,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.69, ºC     ,16.21, ºC     ,16:15:45,TomaNro= 39,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.56, ºC     ,16.21, ºC     ,16:15:45,TomaNro= 40,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.5, ºC     ,16.21, ºC     ,16:15:46,TomaNro= 41,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.44, ºC     ,16.22, ºC     ,16:15:47,TomaNro= 42,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.31, ºC     ,16.22, ºC     ,16:15:48,TomaNro= 43,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.25, ºC     ,16.22, ºC     ,16:15:48,TomaNro= 44,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.19, ºC     ,16.23, ºC     ,16:15:49,TomaNro= 45,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.12, ºC     ,16.23, ºC     ,16:15:50,TomaNro= 46,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.0, ºC     ,16.23, ºC     ,16:15:50,TomaNro= 47,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.94, ºC     ,16.23, ºC     ,16:15:51,TomaNro= 48,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.87, ºC     ,16.24, ºC     ,16:15:52,TomaNro= 49,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.81, ºC     ,16.24, ºC     ,16:15:53,TomaNro= 50,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.24, ºC     ,16:15:53,TomaNro= 51,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.25, ºC     ,16:15:54,TomaNro= 52,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.25, ºC     ,16:15:55,TomaNro= 53,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.25, ºC     ,16:15:55,TomaNro= 54,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.44, ºC     ,16.26, ºC     ,16:15:56,TomaNro= 55,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.26, ºC     ,16:15:58,TomaNro= 56,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.27, ºC     ,16:15:59,TomaNro= 57,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.27, ºC     ,16:16:0,TomaNro= 58,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.27, ºC     ,16:16:1,TomaNro= 59,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.28, ºC     ,16:16:2,TomaNro= 60,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.28, ºC     ,16:16:3,TomaNro= 61,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.29, ºC     ,16:16:4,TomaNro= 62,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.29, ºC     ,16:16:5,TomaNro= 63,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.3, ºC     ,16:16:6,TomaNro= 64,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.44, ºC     ,16.3, ºC     ,16:16:6,TomaNro= 65,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.31, ºC     ,16:16:9,TomaNro= 66,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.31, ºC     ,16:16:10,TomaNro= 67,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.32, ºC     ,16:16:11,TomaNro= 68,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.32, ºC     ,16:16:12,TomaNro= 69,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.81, ºC     ,16.32, ºC     ,16:16:12,TomaNro= 70,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.33, ºC     ,16:16:14,TomaNro= 71,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.33, ºC     ,16:16:14,TomaNro= 72,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.34, ºC     ,16:16:16,TomaNro= 73,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.34, ºC     ,16:16:17,TomaNro= 74,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.34, ºC     ,16:16:17,TomaNro= 75,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.44, ºC     ,16.35, ºC     ,16:16:18,TomaNro= 76,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.36, ºC     ,16:16:20,TomaNro= 77,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.36, ºC     ,16:16:21,TomaNro= 78,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.36, ºC     ,16:16:22,TomaNro= 79,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.37, ºC     ,16:16:23,TomaNro= 80,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.38, ºC     ,16:16:25,TomaNro= 81,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.38, ºC     ,16:16:26,TomaNro= 82,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.38, ºC     ,16:16:27,TomaNro= 83,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.39, ºC     ,16:16:28,TomaNro= 84,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.39, ºC     ,16:16:29,TomaNro= 85,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.4, ºC     ,16:16:30,TomaNro= 86,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.4, ºC     ,16:16:31,TomaNro= 87,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.4, ºC     ,16:16:32,TomaNro= 88,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.81, ºC     ,16.41, ºC     ,16:16:32,TomaNro= 89,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.42, ºC     ,16:16:35,TomaNro= 90,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.42, ºC     ,16:16:36,TomaNro= 91,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.42, ºC     ,16:16:37,TomaNro= 92,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.43, ºC     ,16:16:37,TomaNro= 93,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.44, ºC     ,16.43, ºC     ,16:16:39,TomaNro= 94,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.44, ºC     ,16:16:40,TomaNro= 95,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.44, ºC     ,16:16:41,TomaNro= 96,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.45, ºC     ,16:16:42,TomaNro= 97,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.45, ºC     ,16:16:43,TomaNro= 98,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.81, ºC     ,16.45, ºC     ,16:16:43,TomaNro= 99,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.87, ºC     ,16.46, ºC     ,16:16:44,TomaNro= 100,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.94, ºC     ,16.46, ºC     ,16:16:45,TomaNro= 101,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.87, ºC     ,16.46, ºC     ,16:16:46,TomaNro= 102,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.81, ºC     ,16.47, ºC     ,16:16:47,TomaNro= 103,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.47, ºC     ,16:16:48,TomaNro= 104,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.47, ºC     ,16:16:48,TomaNro= 105,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.48, ºC     ,16:16:49,TomaNro= 106,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.5, ºC     ,16.48, ºC     ,16:16:50,TomaNro= 107,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.49, ºC     ,16:16:52,TomaNro= 108,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.49, ºC     ,16:16:53,TomaNro= 109,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.69, ºC     ,16.5, ºC     ,16:16:54,TomaNro= 110,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.5, ºC     ,16:16:55,TomaNro= 111,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.87, ºC     ,16.5, ºC     ,16:16:55,TomaNro= 112,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.94, ºC     ,16.51, ºC     ,16:16:56,TomaNro= 113,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
17.0, ºC     ,16.51, ºC     ,16:16:57,TomaNro= 114,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.94, ºC     ,16.52, ºC     ,16:16:59,TomaNro= 115,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.87, ºC     ,16.52, ºC     ,16:17:0,TomaNro= 116,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.81, ºC     ,16.52, ºC     ,16:17:0,TomaNro= 117,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.75, ºC     ,16.53, ºC     ,16:17:1,TomaNro= 118,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.53, ºC     ,16:17:2,TomaNro= 119,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.56, ºC     ,16.53, ºC     ,16:17:3,TomaNro= 120,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
16.62, ºC     ,16.54, ºC     ,16:17:5,TomaNro= 121,    T1 Goal: ,16.0,T2 Meta ,32.0,Modo ,2,
